Count,Name,Author,Closed,Color,Comments,Drawing Revision Number,EdgeStyleId,FaceStyleId,File Accessed,File Created,File Last Saved By,File Location,File Modified,File Name,File Size,Fit/Smooth,Hyperlink,Hyperlink Base,Keywords,Layer,Length,Linetype,Linetype Scale,Lineweight,Material,Plot Style,Subject,Title,Total Editing Time,VisualStyleId,Area,Center X,Center Y,Center Z,Radius,Start Angle,Thickness,Total Angle,Circumference,Diameter,Angle1,Associative,BackgroundColor,Double,Origin X,Origin Y,Pattern Name,Scale,Spacing,Type,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z,Dim Style,DynamicDimension,TextDefinedSize,Height,Obliquing,Position X,Position Y,Position Z,Rotation,Style,Value,Width Factor
1,Line,,,red,,,(0),(0),30/04/2021 12:51:47,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:28:54,233D1CSZ_横断図25.dwg,482143,,,,,D-STR,6.4884,Continuous,1.0000,0.40 mm,ByLayer,Color_1,,,138,(0),,,,,,,0.0000,,,,,,,,,,,,,,40,4.9846,4.1538,0.0000,109.9846,40.5368,0.0000,105.0000,36.3830,0.0000,,,,,,,,,,,,
1,Line,,,red,,,(0),(0),30/04/2021 12:51:47,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:28:54,233D1CSZ_横断図25.dwg,482143,,,,,D-STR-STRB,0.1500,Continuous,1.0000,0.25 mm,ByLayer,Color_1,,,138,(0),,,,,,,0.0000,,,,,,,,,,,,,,0,0.1500,0.0000,0.0000,31.0995,63.8763,0.0000,30.9495,63.8763,0.0000,,,,,,,,,,,,
1,Line,,,red,,,(0),(0),30/04/2021 12:51:47,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:28:54,233D1CSZ_横断図25.dwg,482143,,,,,D-STR-STRB,0.3000,Continuous,1.0000,0.25 mm,ByLayer,Color_1,,,138,(0),,,,,,,0.0000,,,,,,,,,,,,,,0,0.3000,0.0000,0.0000,31.2495,63.8763,0.0000,30.9495,63.8763,0.0000,,,,,,,,,,,,
1,Arc,,,white,,,(0),(0),30/04/2021 12:51:47,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:28:54,233D1CSZ_横断図25.dwg,482143,,,,,D-STR,1.7569,Continuous,1.0000,0.40 mm,ByLayer,Color_7,,,138,(0),0.2858,110.9271,39.4057,0.0000,1.4723,61,0.0000,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Line,,,ByBlock,,,(0),(0),30/04/2021 12:51:47,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:28:54,233D1CSZ_横断図25.dwg,482143,,,,,D-STR-STRB,0.1648,Continuous,1.0000,0.25 mm,ByLayer,ByBlock,,,138,(0),,,,,,,0.0000,,,,,,,,,,,,,,276,0.0164,-0.1640,0.0000,14.1792,75.0472,0.0000,14.1629,75.2112,0.0000,,,,,,,,,,,,
1,Line,,,white,,,(0),(0),30/04/2021 12:51:47,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:28:54,233D1CSZ_横断図25.dwg,482143,,,,,D-STR-STRB,0.0400,Continuous,1.0000,0.25 mm,ByLayer,Color_7,,,138,(0),,,,,,,0.0000,,,,,,,,,,,,,,0,0.0400,0.0000,0.0000,14.1629,75.2112,0.0000,14.1229,75.2112,0.0000,,,,,,,,,,,,
1,Line,,,white,,,(0),(0),30/04/2021 12:51:47,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:28:54,233D1CSZ_横断図25.dwg,482143,,,,,D-STR-STRB,0.0300,Continuous,1.0000,0.25 mm,ByLayer,Color_7,,,138,(0),,,,,,,0.0000,,,,,,,,,,,,,,270,0.0000,-0.0300,0.0000,14.1229,75.1812,0.0000,14.1229,75.2112,0.0000,,,,,,,,,,,,
1,Line,,,red,,,(0),(0),30/04/2021 12:51:47,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:28:54,233D1CSZ_横断図25.dwg,482143,,,,,D-STR-STRB,0.0141,Continuous,1.0000,0.25 mm,ByLayer,Color_1,,,138,(0),,,,,,,0.0000,,,,,,,,,,,,,,315,0.0100,-0.0100,0.0000,30.9195,64.0763,0.0000,30.9095,64.0863,0.0000,,,,,,,,,,,,
1,Line,,,red,,,(0),(0),30/04/2021 12:51:47,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:28:54,233D1CSZ_横断図25.dwg,482143,,,,,D-STR-STRB,0.0141,Continuous,1.0000,0.25 mm,ByLayer,Color_1,,,138,(0),,,,,,,0.0000,,,,,,,,,,,,,,225,-0.0100,-0.0100,0.0000,31.2795,64.0763,0.0000,31.2895,64.0863,0.0000,,,,,,,,,,,,
1,Line,,,red,,,(0),(0),30/04/2021 12:51:47,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:28:54,233D1CSZ_横断図25.dwg,482143,,,,,D-STR-STRB,0.0300,Continuous,1.0000,0.25 mm,ByLayer,Color_1,,,138,(0),,,,,,,0.0000,,,,,,,,,,,,,,270,0.0000,-0.0300,0.0000,31.2895,64.0863,0.0000,31.2895,64.1163,0.0000,,,,,,,,,,,,
